Accuracy;False Alarm;Missed
2.6926445062821136e-13;7;1388.9224762710528
1.1213544800508914e-22;186;19452.252668705118
1.140610994120735e-09;158;898.5733759442764
2.1070527707133462e-22;55;15596.194050567738
2.5488195127048224e-05;20;331.95476706446277
